Stationsnummer;Datum;TagesmittelDesLuftdrucks(0.1HPA);Tmax(0.1°C);Tmin(0.1°C);TminErdboden(0.1°C);relLuftfeuchte(%);Windstaerke(o.1BFT);Bedeckungsgrad(0.1Achtel);TagessummeDerSonnenscheindauer(0.1Std);TagesmaxDerWindgeschwindigkeit(0.1M/S) 
03883;19790917;-999.9;17.5;8.0;5.5;65;3.7;7.3;1.8;-9.9 
03883;19790918;-999.9;16.5;12.3;8.5;83;4.7;8.0;0.0;-9.9 
03883;19790919;-999.9;18.0;15.5;14.0;88;2.7;8.0;0.0;-9.9 
03883;19790920;-999.9;21.1;12.6;9.5;85;2.3;4.0;6.5;-9.9 
03883;19790921;-999.9;15.5;6.4;6.5;80;2.0;1.0;8.7;-9.9 
03883;19790922;-999.9;14.7;3.2;2.5;82;1.3;4.0;3.5;-9.9 
03883;19790923;-999.9;15.1;3.4;1.5;79;1.0;1.7;9.8;-9.9 
03883;19790924;-999.9;16.5;0.3;-1.0;75;0.0;2.0;10.4;-9.9 
03883;19790925;-999.9;15.0;1.7;0.5;86;1.0;4.3;4.2;-9.9 
03883;19790926;-999.9;18.5;5.0;2.3;82;2.7;6.3;1.4;-9.9 
03883;19790927;-999.9;18.5;11.0;8.5;89;3.0;7.3;0.1;-9.9 
03883;19790928;-999.9;15.0;2.0;1.0;84;0.3;3.3;5.9;-9.9 
03883;19790929;-999.9;16.0;0.2;-0.5;84;1.3;1.0;9.8;-9.9 
03883;19790930;-999.9;15.0;2.2;1.0;86;1.7;3.3;5.7;-9.9 
03883;19791001;-999.9;15.4;1.3;-0.3;70;1.0;3.0;9.0;-9.9 
03883;19791002;-999.9;13.0;2.5;0.5;68;2.3;1.0;9.3;-9.9 
03883;19791003;-999.9;12.0;2.2;-0.5;59;3.0;5.0;6.3;-9.9 
03883;19791004;-999.9;12.2;3.1;1.4;81;1.0;7.3;1.2;-9.9 
03883;19791005;-999.9;10.3;8.0;6.0;75;3.0;8.0;0.0;-9.9 
03883;19791006;-999.9;13.2;3.0;1.5;65;2.0;0.7;9.2;-9.9 
03883;19791007;-999.9;15.3;1.7;-0.5;76;1.3;2.7;6.7;-9.9 
03883;19791008;-999.9;18.0;4.0;2.0;83;0.7;6.0;1.8;-9.9 
03883;19791009;-999.9;19.5;9.5;7.0;82;1.3;4.0;2.0;-9.9 
03883;19791010;-999.9;25.0;7.8;5.5;74;0.0;3.0;5.5;-9.9 
